,Close,Compound,Negative,Neutral,Positive,Open,High,Low,Volume
2016-12-13,515.0181269999998,-0.9999,0.143,0.768,0.09,509.173553,515.612488,508.9506530000001,4783826.0
2016-12-14,524.775635,-0.9999,0.144,0.777,0.079,515.0181269999998,527.227417,514.225647,11140265.0
2016-12-15,521.531433,-0.9998,0.132,0.782,0.086,521.258972,528.787598,519.401611,8921708.0
2016-12-16,523.611694,-0.9998,0.132,0.777,0.091,521.060852,526.013916,521.060852,6895825.0
2016-12-19,526.286316,-0.9996,0.136,0.755,0.11,522.5467530000002,528.4656980000002,522.224854,6926943.0
2016-12-20,523.983154,-0.9998,0.133,0.776,0.091,522.398193,525.5186160000002,521.630493,5394088.0
2016-12-21,526.633057,-0.9997,0.123,0.789,0.088,525.072815,528.639038,523.636475,9399779.0
2016-12-22,521.729553,-0.9998,0.123,0.796,0.081,524.032715,526.335876,520.540771,13334038.0
2016-12-23,523.685974,-0.9998,0.131,0.775,0.095,521.060852,529.4562990000002,521.060852,4737311.0
2016-12-26,518.807251,-0.9998,0.143,0.756,0.101,522.224854,527.9951169999998,517.420349,7070994.0
2016-12-27,527.351257,-0.9998,0.125,0.786,0.089,519.005371,528.539978,518.584351,8049872.0
2016-12-28,519.921692,-0.9999,0.137,0.779,0.084,528.9362179999998,529.753479,518.63385,4447617.0
2016-12-29,527.722717,-0.9998,0.139,0.763,0.098,520.070251,529.381958,519.822571,4048426.0
2016-12-30,536.118164,-0.9995,0.12,0.782,0.098,527.400757,537.405945,526.558777,7251073.0
2017-01-02,537.455444,-0.9999,0.155,0.75,0.095,536.910645,539.882446,531.14032,3275674.0
2017-01-03,539.585266,-0.9998,0.127,0.782,0.091,539.808167,543.349609,535.474243,2969384.0
2017-01-04,528.564758,-0.9999,0.136,0.78,0.084,541.318848,541.368347,527.153137,4796129.0
2017-01-05,533.6416019999998,-0.9998,0.134,0.775,0.091,530.47168,534.8798830000002,529.3572389999998,4030815.0
2017-01-06,532.428101,-0.9998,0.136,0.77,0.094,532.056641,537.405945,531.5117799999998,3620853.0
2017-01-09,533.790222,-0.9996,0.125,0.783,0.092,533.4434809999998,537.901245,530.47168,2413173.0
2017-01-10,539.808167,-0.9999,0.143,0.765,0.092,534.929382,542.0617679999998,534.929382,5237984.0
2017-01-11,537.926025,-0.9999,0.141,0.768,0.091,542.359009,542.705688,536.910645,5296152.0
2017-01-12,536.563904,-0.9996,0.125,0.773,0.102,538.3965450000002,540.055786,534.830322,2017673.0
2017-01-13,540.080566,-0.999,0.126,0.763,0.111,537.183044,543.597229,537.183044,3338688.0
2017-01-16,533.072021,-0.9982,0.13,0.75,0.119,539.857666,541.838928,531.9328,5544068.0
2017-01-17,515.7363280000002,-0.9999,0.138,0.778,0.084,527.499817,528.985718,514.3742679999998,18106600.0
2017-01-18,511.427185,-0.9997,0.123,0.786,0.091,516.4049679999998,519.079651,509.545013,7322904.0
2017-01-19,511.996796,-0.9991,0.113,0.794,0.093,512.714966,517.74231,510.659454,7053690.0
2017-01-20,508.083862,-0.9998,0.143,0.751,0.106,512.120605,513.854187,507.142792,4054233.0
2017-01-23,503.180359,-0.9994,0.124,0.773,0.103,506.102661,510.659454,501.644897,6326471.0
2017-01-24,508.826843,-0.9999,0.143,0.759,0.099,503.725189,509.56979400000006,503.725189,4347000.0
2017-01-25,503.873779,-0.9999,0.13,0.784,0.085,511.154755,511.50146500000005,503.30416900000006,11009842.0
2017-01-27,507.737152,0.9975,0.098,0.79,0.111,505.33493,509.619324,504.71579,10089215.0
