,Close,Compound,Negative,Neutral,Positive,Open,High,Low,Volume
2017-09-01,797.490601,-0.9997,0.12,0.788,0.091,792.413696,800.710083,791.992676,7121827.0
2017-09-04,799.100342,-0.9867,0.112,0.781,0.107,800.165222,810.393311,790.432495,9950182.0
2017-09-05,808.634949,-0.9996,0.117,0.796,0.087,807.347168,809.7493900000002,802.914185,11637538.0
2017-09-06,814.974854,-0.9998,0.135,0.763,0.102,805.564087,818.491516,803.780945,22496263.0
2017-09-07,810.4180299999998,-0.9999,0.146,0.761,0.093,815.272034,824.682861,807.347168,7478761.0
2017-09-08,809.229309,-0.9999,0.152,0.767,0.081,812.300232,815.519714,804.474365,6114140.0
2017-09-11,810.2199099999998,-0.9917,0.117,0.769,0.114,813.5880129999998,819.085876,808.882629,5856706.0
2017-09-12,816.0150150000002,-0.9996,0.123,0.785,0.092,815.024353,817.253235,809.3283690000002,2999837.0
2017-09-13,841.027893,-0.9998,0.131,0.771,0.098,816.2626339999998,851.8255619999999,814.281433,13557530.0
2017-09-14,835.92627,-0.9998,0.131,0.771,0.098,847.764038,853.410522,834.0936280000002,5476914.0
2017-09-15,833.8955080000002,-0.9999,0.139,0.784,0.077,834.0936280000002,844.841736,826.911682,13196770.0
2017-09-18,837.610291,-0.9995,0.132,0.762,0.106,842.0184939999998,843.058655,835.183289,2336110.0
2017-09-19,830.725525,-0.9999,0.137,0.778,0.084,840.730713,840.7802730000002,829.1405639999998,3562177.0
2017-09-20,839.195251,-0.9998,0.126,0.787,0.087,848.0612179999998,864.307251,837.16449,11511053.0
2017-09-21,833.449707,-0.9998,0.137,0.762,0.101,839.046692,843.7025150000002,828.397644,5976672.0
2017-09-22,809.724609,-0.9999,0.139,0.769,0.092,832.013367,832.013367,805.564087,5673719.0
2017-09-25,813.835632,-0.996,0.12,0.765,0.116,807.347168,820.175537,797.63916,6566972.0
2017-09-26,812.399292,-0.9988,0.125,0.762,0.113,813.9842530000002,819.283997,804.573425,4875350.0
2017-09-27,791.645996,-0.9895,0.107,0.793,0.1,817.8475950000002,817.946655,788.0302730000002,8514143.0
2017-09-28,779.065247,-0.9992,0.11,0.803,0.088,792.141296,795.360779,772.8739009999998,13636223.0
2017-09-29,773.5673830000002,-0.9988,0.13,0.752,0.118,784.3154910000002,785.9499509999998,771.7842410000002,7691452.0
2017-10-03,790.853516,-0.9998,0.138,0.763,0.098,787.534973,796.30188,777.975586,8466559.0
2017-10-04,811.161011,-0.9999,0.134,0.778,0.088,791.695496,817.2037349999998,788.129333,8725859.0
2017-10-05,816.411255,-0.9996,0.128,0.765,0.107,817.253235,820.670837,810.962891,4906551.0
2017-10-06,829.190125,-0.9998,0.134,0.767,0.099,816.2626339999998,831.4685059999998,814.8757929999998,5998431.0
2017-10-09,822.85022,-0.9999,0.141,0.771,0.088,831.1218259999998,831.914307,820.225098,4084462.0
2017-10-10,835.2823490000002,-0.9999,0.133,0.787,0.079,823.196899,839.343872,823.196899,6798826.0
2017-10-11,832.260986,-0.9998,0.107,0.835,0.057,837.36261,850.3396,828.149963,7116625.0
2017-10-12,864.554871,-0.9999,0.124,0.797,0.079,834.192688,868.566833,834.192688,8603714.0
2017-10-13,868.2201539999999,-1.0,0.166,0.744,0.09,871.0433960000001,882.3363039999998,865.1492310000001,9926723.0
2017-10-16,868.566833,-0.9997,0.13,0.774,0.096,870.746216,883.6241460000001,853.212402,14772250.0
2017-10-17,866.1398320000002,-0.9997,0.117,0.799,0.085,869.755615,875.699219,859.057007,6414314.0
2017-10-18,905.912842,-0.9929,0.11,0.782,0.107,869.1611939999998,909.280945,866.7837519999998,16924095.0
2017-10-19,901.356018,-0.9828,0.127,0.745,0.128,907.200623,913.243347,894.5208130000002,3698813.0
2017-10-23,930.925781,-0.9993,0.12,0.78,0.1,904.327881,935.829285,900.5635380000001,12670626.0
2017-10-24,925.477417,-0.9997,0.127,0.781,0.092,938.801086,938.801086,919.484192,6395360.0
2017-10-25,931.074341,-0.9998,0.133,0.768,0.1,931.272461,937.018005,920.771973,4620435.0
2017-10-26,938.503906,-0.9991,0.128,0.761,0.111,931.173401,948.806274,922.257935,7771680.0
2017-10-27,921.118713,-0.988,0.107,0.789,0.104,941.079529,947.716614,917.00769,5306577.0
2017-10-30,933.649902,-0.9999,0.139,0.77,0.091,925.229736,936.671265,921.861694,3610434.0
2017-10-31,932.015442,-0.9999,0.155,0.76,0.085,936.076904,936.869385,923.446655,4386549.0
2017-11-01,943.605591,-0.9992,0.11,0.807,0.083,938.850647,948.806274,936.869385,8109185.0
2017-11-02,937.711426,-0.9997,0.136,0.751,0.113,943.85321,947.518494,935.383484,4743147.0
2017-11-03,936.423645,-0.9998,0.14,0.759,0.101,946.973633,946.973633,931.322021,2214524.0
2017-11-06,923.743835,-0.9997,0.135,0.766,0.1,933.649902,933.649902,920.276672,4503082.0
2017-11-07,898.1860960000001,-0.9998,0.128,0.781,0.091,924.585876,926.220337,894.570374,9436552.0
2017-11-08,879.4635619999998,-0.9999,0.148,0.76,0.091,894.025513,897.492676,875.7982789999999,8192911.0
2017-11-09,892.0443119999999,-0.9999,0.137,0.772,0.09,886.3483279999998,901.356018,883.673645,6925831.0
2017-11-10,875.550659,-0.9999,0.14,0.764,0.096,892.490112,892.490112,870.9443359999998,6425509.0
2017-11-13,867.031433,-0.9998,0.137,0.772,0.09,876.6898800000001,883.525085,865.2978519999998,4194396.0
2017-11-14,878.3739009999998,-0.9999,0.147,0.767,0.085,866.7837519999998,886.595947,864.802551,5760193.0
2017-11-15,875.4020390000002,-0.9995,0.101,0.833,0.066,876.1945800000002,882.2372439999998,869.7060550000001,7048053.0
2017-11-16,895.3628539999999,-0.9999,0.158,0.759,0.083,877.1851810000002,897.492676,877.1851810000002,6996737.0
2017-11-17,903.33728,-0.9999,0.152,0.757,0.091,910.321045,916.21521,899.969177,5639193.0
2017-11-20,912.203247,-0.9999,0.14,0.77,0.089,897.6907960000002,915.670349,896.502075,4260195.0
2017-11-21,923.793335,-1.0,0.162,0.76,0.078,918.097351,930.826721,916.80957,6037454.0
2017-11-22,922.010254,-0.9999,0.156,0.756,0.088,928.647339,929.83606,914.778809,5103410.0
2017-11-23,938.107666,-0.9999,0.136,0.772,0.092,922.257935,940.980469,917.948792,7398598.0
2017-11-24,942.169189,-0.9999,0.149,0.763,0.088,941.079529,950.490295,938.503906,6455055.0
2017-11-27,942.416809,-0.9998,0.142,0.763,0.096,938.355347,948.509094,935.135864,4724436.0
2017-11-28,934.491943,-0.9997,0.119,0.801,0.08,940.930908,942.416809,929.29126,4685893.0
2017-11-29,937.117065,-0.9998,0.132,0.781,0.086,933.006042,941.079529,932.164001,3709698.0
2017-11-30,912.896667,-0.9998,0.141,0.756,0.103,932.609802,932.609802,910.865906,9524326.0
2017-12-01,901.554138,-0.9999,0.132,0.797,0.071,915.769409,922.505554,899.1766970000001,5129555.0
2017-12-04,893.1339720000002,-0.9975,0.107,0.802,0.09,904.922241,905.219421,888.923889,4662629.0
2017-12-05,905.120361,-0.9999,0.15,0.763,0.087,892.5891720000002,912.104187,887.0417480000001,8448505.0
2017-12-06,917.948792,-1.0,0.15,0.783,0.067,901.455078,921.564514,900.2663570000002,11112030.0
2017-12-07,922.802734,-0.9999,0.139,0.784,0.077,921.316833,927.210938,914.333008,5581979.0
2017-12-08,912.351807,-0.9999,0.156,0.766,0.078,925.081177,928.152039,910.420105,5641459.0
2017-12-11,907.547363,-0.9999,0.151,0.743,0.106,913.788208,917.304871,904.971802,4980620.0
2017-12-12,907.002502,-0.9999,0.137,0.782,0.081,907.349243,920.276672,899.4738769999999,7283405.0
2017-12-13,906.061462,-0.9999,0.147,0.772,0.082,908.290344,916.264709,902.14856,4221739.0
2017-12-14,912.847107,-0.9999,0.14,0.78,0.08,910.370605,916.21521,900.216858,5068725.0
2017-12-15,911.113525,-0.9999,0.142,0.766,0.092,922.257935,924.189636,909.082825,11264479.0
2017-12-18,912.351807,-0.9962,0.11,0.791,0.1,903.38678,923.892395,854.5497439999998,8575323.0
2017-12-19,917.25531,-0.9916,0.123,0.755,0.122,914.927429,918.295471,911.361206,4103513.0
2017-12-20,909.528564,-0.9999,0.147,0.768,0.084,917.205811,918.691711,908.389404,4819670.0
2017-12-21,904.37738,-0.9997,0.125,0.783,0.092,909.825745,915.274109,901.455078,4186472.0
2017-12-22,911.757446,-0.9999,0.149,0.757,0.094,906.061462,913.738647,900.761658,4918863.0
2017-12-26,921.069214,-0.9998,0.134,0.766,0.1,916.165649,930.08374,909.528564,5351708.0
2017-12-27,915.075989,-0.9999,0.135,0.775,0.09,924.239136,928.696899,910.370605,4393640.0
2017-12-28,915.52179,-0.9999,0.147,0.761,0.092,916.56189,925.625977,910.469666,7158735.0
2017-12-29,912.401367,-0.9999,0.15,0.745,0.105,917.800171,923.545715,909.875305,5117894.0
2018-01-01,901.207458,-0.9722,0.117,0.763,0.12,914.035828,914.035828,898.978577,4362651.0
2018-01-02,902.594299,-0.9994,0.112,0.801,0.087,904.426941,910.915405,897.888916,4383980.0
2018-01-03,906.210022,-0.9996,0.102,0.84,0.059,916.31427,917.304871,904.47644,6233847.0
2018-01-04,911.658386,-0.9999,0.151,0.766,0.083,909.528564,913.144287,907.101563,4157621.0
2018-01-05,914.580688,-0.9998,0.134,0.776,0.09,913.144287,918.196411,911.608887,3434151.0
2018-01-08,919.830933,-0.9998,0.139,0.763,0.098,917.403931,922.257935,914.828369,4073668.0
2018-01-09,932.114502,-0.9998,0.136,0.765,0.098,919.434692,935.036804,915.323669,6596942.0
2018-01-10,933.501343,-0.9999,0.137,0.79,0.074,934.145264,938.503906,926.715637,5412323.0
2018-01-11,928.944519,-0.9999,0.145,0.765,0.091,932.956482,933.798523,926.220337,3622391.0
2018-01-12,940.088867,-0.9999,0.143,0.771,0.086,934.145264,943.85321,929.439819,6955338.0
2018-01-15,940.237488,-0.9997,0.134,0.767,0.099,941.079529,949.499695,936.324585,5132305.0
2018-01-16,914.283508,-0.9999,0.147,0.776,0.077,938.801086,938.801086,911.361206,4995805.0
2018-01-17,915.81897,-0.9997,0.097,0.849,0.054,917.304871,920.276672,898.4832759999998,6093651.0
2018-01-18,911.064026,-0.9995,0.107,0.816,0.077,920.276672,920.871033,906.507202,4329708.0
2018-01-19,922.555115,-0.9999,0.158,0.752,0.09,914.333008,925.625977,913.441467,4602784.0
2018-01-22,962.377625,0.7937,0.084,0.837,0.079,939.098267,965.151306,931.173401,21090881.0
2018-01-23,974.017273,-0.9998,0.132,0.783,0.085,965.844727,981.644958,965.844727,10396119.0
2018-01-24,957.276001,-0.9999,0.147,0.769,0.085,972.531372,972.531372,953.610718,6594595.0
2018-01-25,956.8302,-0.9999,0.132,0.785,0.083,958.811401,962.872925,947.171753,6308657.0
2018-01-29,955.443359,-0.9991,0.123,0.772,0.105,957.12738,968.123169,950.292175,4567493.0
2018-01-30,941.475769,-0.9999,0.143,0.772,0.085,956.73114,956.73114,940.088867,4237933.0
2018-01-31,952.273376,-0.9999,0.148,0.766,0.086,941.079529,955.443359,932.708862,5792601.0
2018-02-01,934.987244,-0.9999,0.153,0.756,0.091,954.205078,963.467285,927.805359,7626196.0
2018-02-02,895.8581539999999,-0.9998,0.126,0.78,0.094,926.220337,935.086304,892.5396119999998,13367616.0
2018-02-05,893.678833,-0.9993,0.128,0.762,0.109,885.605347,903.931641,873.519897,8856689.0
2018-02-06,883.723206,-0.9999,0.154,0.754,0.092,868.7649539999999,889.56781,862.8212890000002,11104841.0
2018-02-07,886.001587,-0.9999,0.157,0.754,0.089,894.0750730000002,896.898315,881.642883,7168146.0
2018-02-08,896.056274,-1.0,0.154,0.777,0.069,889.46875,902.098999,883.970825,6380648.0
2018-02-09,889.4191890000002,-0.9999,0.154,0.765,0.081,880.652283,893.5302119999999,877.6804810000001,5344463.0
2018-02-12,906.903442,-0.9999,0.152,0.761,0.087,894.5208130000002,909.578125,893.579773,5481260.0
2018-02-14,924.883057,-0.9998,0.142,0.764,0.094,914.333008,933.649902,912.351807,10267369.0
2018-02-15,926.864258,-0.9999,0.15,0.763,0.087,928.845459,936.869385,919.434692,6167365.0
2018-02-16,912.648987,-0.9999,0.154,0.763,0.083,930.777161,933.749023,909.479065,4443395.0
2018-02-19,918.295471,-0.9999,0.161,0.749,0.091,912.351807,923.248535,904.971802,4126685.0
2018-02-20,912.450867,-0.9999,0.13,0.798,0.072,920.276672,920.821533,910.172485,3903573.0
2018-02-21,920.623413,-0.9999,0.157,0.756,0.088,921.267334,923.743835,913.491028,5499873.0
2018-02-22,915.670349,-0.9998,0.129,0.783,0.088,913.342407,922.257935,911.361206,5167371.0
2018-02-23,925.477417,-0.9999,0.158,0.76,0.082,916.71051,929.1922,914.085388,4896820.0
2018-02-26,929.88562,-0.9999,0.147,0.767,0.086,930.1828,936.027405,927.805359,3893033.0
2018-02-27,941.574829,-0.9999,0.133,0.791,0.076,930.1828,946.825073,929.538879,6470858.0
2018-02-28,945.586792,-0.9999,0.138,0.781,0.081,937.067566,948.112854,934.343384,26144187.0
2018-03-01,939.494507,-0.9998,0.131,0.781,0.088,940.831848,950.886536,937.067566,4133465.0
2018-03-05,915.422729,-0.9999,0.139,0.773,0.088,934.145264,941.228088,912.946167,5688306.0
2018-03-06,902.297119,-0.9999,0.148,0.774,0.078,920.276672,927.409119,896.601135,7393101.0
2018-03-07,881.3952640000001,-0.9999,0.135,0.776,0.09,900.712158,900.712158,879.711243,7316409.0
2018-03-08,902.891479,-0.9999,0.148,0.778,0.073,889.2210689999998,905.912842,884.911926,6130548.0
2018-03-09,904.526001,-0.9998,0.135,0.766,0.099,906.309082,910.717285,902.495239,4909678.0
2018-03-12,921.564514,-0.9999,0.152,0.752,0.096,911.361206,924.338196,908.934204,3837440.0
2018-03-13,923.099915,-0.9999,0.141,0.767,0.092,923.149475,927.210938,912.698547,5145137.0
2018-03-14,920.326233,-0.9999,0.137,0.776,0.088,920.078552,923.298035,910.568726,6795338.0
2018-03-15,903.23822,-0.9999,0.135,0.781,0.084,916.31427,920.722473,901.455078,5866510.0
2018-03-16,891.5985109999998,-0.9998,0.132,0.78,0.088,900.464478,901.157898,877.7299800000002,14221100.0
2018-03-19,887.0912480000002,-0.9996,0.117,0.794,0.089,892.5396119999998,898.384216,883.6241460000001,5829127.0
2018-03-20,881.4447630000002,-0.9999,0.135,0.801,0.064,884.911926,895.511475,878.720581,7011559.0
2018-03-21,888.4780880000002,-0.9999,0.14,0.778,0.082,886.447388,893.876953,884.911926,6791028.0
2018-03-22,899.6224980000002,-0.9999,0.132,0.783,0.084,887.586548,903.38678,887.3389279999999,10212863.0
2018-03-23,885.5062869999998,-0.9999,0.149,0.77,0.081,882.2372439999998,891.549011,880.751343,10831400.0
2018-03-26,892.638672,-0.9998,0.107,0.834,0.06,885.5557859999999,895.808655,884.119446,6104583.0
2018-03-27,891.350891,-1.0,0.153,0.776,0.071,898.6813960000002,902.198059,888.5771480000002,7005357.0
2018-03-28,874.4114380000002,-0.9999,0.14,0.775,0.084,887.388428,887.4379880000001,871.736816,8842618.0
2018-04-02,884.5651859999998,-0.9999,0.139,0.768,0.093,884.6147460000002,892.490112,878.175781,5766209.0
2018-04-03,891.10321,-0.9999,0.157,0.774,0.069,882.6335449999998,893.233032,876.9375,6425059.0
2018-04-04,886.4968869999999,-0.9999,0.159,0.754,0.087,896.204895,903.23822,883.673645,6560005.0
2018-04-05,899.671997,-0.9999,0.136,0.785,0.079,896.601135,901.455078,895.0161130000001,3935631.0
2018-04-06,902.44574,-0.9998,0.13,0.782,0.088,899.4738769999999,909.875305,896.502075,4460344.0
2018-04-09,907.398743,-0.9999,0.152,0.759,0.089,903.98114,910.370605,903.98114,3606112.0
2018-04-10,908.438904,-1.0,0.167,0.743,0.089,909.776245,915.224609,905.566162,3902042.0
2018-04-11,922.109314,-0.9999,0.151,0.765,0.084,913.144287,923.991455,907.448303,6064484.0
2018-04-12,919.979492,-0.9997,0.11,0.837,0.053,921.118713,927.854858,915.52179,4994624.0
2018-04-13,930.03418,-1.0,0.162,0.762,0.077,923.941956,932.857422,919.979492,5822658.0
2018-04-16,928.251099,-0.9999,0.143,0.762,0.094,925.675537,931.173401,919.781372,4123166.0
2018-04-17,935.383484,-0.9999,0.158,0.744,0.098,931.173401,938.305786,927.210938,4430313.0
2018-04-18,929.1922,-1.0,0.161,0.776,0.063,936.374084,939.296387,926.269897,3397094.0
2018-04-19,933.451782,-0.9999,0.123,0.819,0.058,930.28186,936.126465,926.220337,4523892.0
2018-04-20,919.187012,-1.0,0.166,0.748,0.086,929.1922,933.006042,912.549927,3381269.0
2018-04-23,927.210938,-0.9998,0.127,0.795,0.078,921.267334,935.482544,919.781372,3541772.0
2018-04-24,960.941223,-0.9999,0.137,0.792,0.071,927.012817,966.538208,926.220337,9193591.0
2018-04-25,961.387024,-0.9999,0.15,0.775,0.075,964.507446,972.580933,954.502258,6497632.0
2018-04-26,966.191467,-0.9999,0.145,0.763,0.091,963.863525,978.722717,953.214478,15735759.0
2018-04-27,986.944763,-0.9999,0.134,0.781,0.084,980.505798,1001.506714,976.246155,11776851.0
2018-04-30,954.254639,-0.9989,0.096,0.83,0.074,972.779053,983.27948,950.985596,8955897.0
2018-05-02,963.566345,-0.9999,0.133,0.787,0.08,957.919861,970.00531,955.988159,6175751.0
2018-05-03,952.570557,-0.9999,0.157,0.741,0.101,968.717529,968.717529,950.242676,3984964.0
2018-05-04,944.992432,-0.9999,0.154,0.749,0.097,953.808838,955.641479,941.079529,3831671.0
2018-05-07,961.882324,-0.9999,0.139,0.767,0.094,949.846375,964.111206,947.369873,3545827.0
2018-05-08,958.018921,-0.9999,0.138,0.779,0.083,968.321289,972.779053,956.13678,4980805.0
2018-05-09,967.528809,-0.9999,0.14,0.777,0.082,956.8302,975.057434,953.214478,4537025.0
2018-05-10,971.937012,-1.0,0.159,0.777,0.064,970.797791,975.354614,965.101807,4052699.0
2018-05-11,979.960938,-0.9998,0.12,0.801,0.079,972.036072,981.991699,968.568909,4049541.0
2018-05-14,977.335815,-0.9999,0.128,0.791,0.082,982.63562,982.63562,967.528809,2604012.0
2018-05-15,969.75769,-0.9999,0.143,0.77,0.087,973.819153,990.609985,967.479248,4846430.0
2018-05-16,947.171753,-0.9997,0.124,0.786,0.09,964.854126,964.854126,943.506531,8695009.0
2018-05-17,936.473145,-0.9999,0.148,0.778,0.074,950.341736,950.985596,932.659302,4778345.0
2018-05-18,925.081177,-0.9999,0.137,0.777,0.086,936.720825,944.546631,923.248535,5279612.0
2018-05-21,922.604614,-0.9999,0.155,0.75,0.095,922.010254,926.913757,913.441467,6687690.0
2018-05-22,918.047852,-0.9999,0.157,0.752,0.091,924.387756,925.229736,916.31427,5219596.0
2018-05-23,903.68396,-0.9997,0.11,0.82,0.07,917.304871,917.304871,900.613098,4610857.0
2018-05-24,907.250183,-0.9998,0.121,0.803,0.076,905.417542,912.351807,901.603699,5368392.0
2018-05-25,912.153687,-0.9999,0.119,0.814,0.067,907.398743,914.729309,905.863342,8206579.0
2018-05-28,911.757446,-0.9999,0.129,0.789,0.082,916.21521,918.295471,909.479065,5247105.0
2018-05-29,908.835144,-0.9999,0.144,0.77,0.086,912.847107,919.286072,905.813782,8250871.0
2018-05-30,907.497803,-0.9999,0.156,0.758,0.086,906.259583,914.531189,898.0870359999999,6048012.0
2018-05-31,912.698547,-0.9999,0.146,0.768,0.086,912.351807,913.639587,905.962402,17112487.0
2018-06-01,921.812134,-0.9999,0.154,0.745,0.102,911.361206,926.963318,909.825745,8848926.0
2018-06-04,932.015442,-0.9999,0.14,0.771,0.089,924.635376,935.135864,921.812134,5653442.0
2018-06-05,938.751587,-0.9999,0.134,0.776,0.09,933.947144,946.032532,932.164001,8047086.0
2018-06-06,945.438171,-0.9999,0.151,0.768,0.081,938.107666,947.023193,933.798523,4229195.0
2018-06-07,962.229004,-0.9999,0.146,0.776,0.077,945.933472,966.835388,945.487732,6922300.0
2018-06-08,975.106934,-0.9997,0.115,0.811,0.074,957.276001,977.286316,951.579956,6594521.0
2018-06-11,973.422913,-0.9993,0.117,0.787,0.096,977.831116,990.560486,969.85675,6931136.0
2018-06-12,987.786743,-0.9999,0.136,0.787,0.077,974.165894,990.609985,971.094971,7515794.0
2018-06-13,993.086548,-0.9999,0.146,0.783,0.072,990.609985,996.45459,980.208618,5982192.0
2018-06-14,998.485352,-0.9986,0.099,0.826,0.075,988.083923,1002.299194,978.128296,5536858.0
2018-06-15,1004.676697,-0.9999,0.121,0.815,0.065,996.55365,1013.889343,989.867065,11401764.0
2018-06-18,1006.013977,-0.9974,0.096,0.823,0.081,999.327393,1010.867981,997.54425,5705952.0
2018-06-19,986.697083,-0.9999,0.143,0.774,0.083,1004.379456,1005.271057,984.319641,6406255.0
2018-06-20,1009.67926,-0.9999,0.147,0.767,0.086,986.647583,1013.294983,985.508362,7262014.0
2018-06-21,1022.26001,-0.9999,0.152,0.754,0.094,1013.839783,1026.271973,1011.710022,10609377.0
2018-06-22,1002.992615,-1.0,0.175,0.74,0.085,1018.743347,1019.535828,998.980652,16323253.0
2018-06-25,995.01825,-0.9996,0.13,0.763,0.107,1001.902954,1006.955078,992.888428,5246962.0
2018-06-26,969.75769,-0.9999,0.153,0.764,0.083,996.55365,996.55365,966.092407,8145067.0
2018-06-27,956.780701,-0.9999,0.147,0.764,0.089,969.31189,976.147095,953.660278,9043473.0
2018-06-28,936.076904,-0.9998,0.119,0.804,0.077,952.966797,959.405762,931.470581,8662575.0
2018-06-29,963.318726,-0.9999,0.148,0.772,0.081,940.187988,966.340088,940.088867,8041914.0
2018-07-02,951.579956,-0.9999,0.147,0.771,0.082,963.219666,963.219666,948.013794,6724054.0
2018-07-03,962.179504,-0.9998,0.122,0.795,0.083,955.93866,969.26239,951.332336,5115293.0
2018-07-04,980.802979,-0.9999,0.135,0.786,0.079,962.674805,982.68512,961.882324,5048125.0
2018-07-05,955.443359,-0.9998,0.138,0.765,0.096,987.638184,998.931152,949.598755,18896793.0
2018-07-06,968.370789,-1.0,0.156,0.768,0.076,955.690979,973.769653,955.443359,9248105.0
2018-07-09,987.737244,-0.9996,0.12,0.788,0.091,977.831116,990.609985,974.264954,5219197.0
2018-07-10,1016.068665,-0.9999,0.144,0.775,0.082,993.334167,1018.842407,990.609985,10543516.0
2018-07-11,1029.045654,-0.9999,0.134,0.779,0.087,1015.375244,1031.125977,1008.292419,8747208.0
2018-07-12,1072.186768,-0.9999,0.139,0.794,0.067,1034.543579,1088.68042,1032.809937,24337829.0
2018-07-13,1089.4729,-0.9999,0.129,0.79,0.081,1070.354126,1098.586548,1069.858765,18137593.0
2018-07-16,1066.094482,-0.9999,0.143,0.756,0.101,1089.4729,1098.487427,1062.9741210000002,6658302.0
2018-07-17,1082.092896,-1.0,0.152,0.779,0.07,1068.174805,1085.659058,1059.556519,6530578.0
2018-07-18,1082.291016,-0.9998,0.121,0.8,0.079,1088.08606,1094.227783,1067.184204,4726480.0
2018-07-19,1094.475464,-0.9999,0.133,0.802,0.066,1083.033936,1104.530151,1076.14917,5485122.0
2018-07-20,1118.052002,-0.9998,0.117,0.809,0.075,1102.94519,1127.809448,1101.4592289999996,8094154.0
2018-07-23,1109.780396,-0.9999,0.139,0.783,0.078,1119.1911619999996,1119.1911619999996,1102.647949,5897877.0
2018-07-24,1100.518188,-0.9999,0.137,0.78,0.083,1111.464478,1116.1698,1097.001465,4511507.0
2018-07-25,1104.678711,-1.0,0.138,0.801,0.061,1099.577148,1112.455078,1093.831543,6006077.0
2018-07-26,1100.220947,-0.9999,0.139,0.776,0.086,1099.676147,1110.969116,1097.397705,6485768.0
2018-07-27,1119.240723,-0.9999,0.13,0.802,0.068,1108.987915,1126.719849,1101.706909,6742782.0
2018-07-30,1140.5883789999998,-0.9998,0.142,0.753,0.105,1119.389282,1146.432983,1117.408081,14003964.0
2018-07-31,1174.863525,-0.9999,0.145,0.774,0.081,1140.192139,1179.222168,1136.378296,14006901.0
2018-08-01,1181.153809,-1.0,0.158,0.77,0.073,1179.222168,1191.604736,1174.269043,9796282.0
2018-08-02,1157.37915,-0.9998,0.131,0.777,0.092,1180.311768,1180.311768,1155.001709,6308209.0
2018-08-03,1165.8984380000004,-0.9999,0.137,0.778,0.085,1163.966797,1172.3869630000004,1158.567993,6708388.0
2018-08-06,1181.401489,-0.9999,0.147,0.756,0.097,1165.650757,1184.769531,1164.313477,4054489.0
2018-08-07,1173.080322,-0.9999,0.133,0.789,0.078,1183.679932,1190.1188960000004,1165.947998,4097939.0
2018-08-08,1206.265747,-0.9998,0.117,0.815,0.068,1173.872803,1211.020752,1173.872803,7987438.0
2018-08-09,1206.513428,-0.9996,0.102,0.828,0.07,1210.030151,1220.134399,1200.619385,6911830.0
2018-08-10,1192.892578,-0.9999,0.147,0.763,0.09,1199.6286619999996,1203.591187,1191.010376,3615156.0
2018-08-13,1176.547485,-0.9997,0.124,0.781,0.095,1186.305054,1188.682495,1171.594482,4712408.0
2018-08-14,1199.232422,-0.9986,0.116,0.779,0.105,1178.825928,1205.770508,1173.179443,5349770.0
2018-08-16,1189.524536,0.9993,0.102,0.777,0.122,1191.951538,1204.5817869999996,1184.274292,6039198.0
2018-08-17,1192.446777,-0.9998,0.146,0.748,0.106,1197.647461,1203.987427,1188.7814939999996,3867305.0
2018-08-20,1223.304321,0.9991,0.106,0.767,0.126,1196.557861,1225.186401,1196.310181,7679143.0
2018-08-21,1235.48877,-0.9999,0.149,0.763,0.088,1225.632202,1239.748413,1215.478516,7348644.0
2018-08-23,1257.529907,-0.9995,0.105,0.819,0.076,1234.59729,1262.037109,1226.771484,8043652.0
2018-08-24,1265.504272,-0.9999,0.154,0.759,0.087,1253.369263,1267.931274,1248.21814,6715059.0
2018-08-27,1279.372803,-0.9998,0.135,0.763,0.102,1267.386475,1283.682007,1266.742554,5624995.0
2018-08-28,1306.614624,-0.9993,0.118,0.78,0.102,1283.830566,1310.577026,1282.839966,8777168.0
2018-08-29,1282.047485,-0.9999,0.134,0.787,0.079,1303.939941,1316.520752,1278.085083,11182203.0
2018-08-30,1262.48291,-0.9998,0.129,0.785,0.086,1281.453125,1284.969727,1258.520508,9943410.0
2018-08-31,1229.990967,-0.9999,0.15,0.758,0.092,1258.074707,1258.074707,1224.988281,15450941.0
2018-09-03,1217.608276,-0.9996,0.118,0.794,0.088,1233.309448,1246.0883789999998,1214.5373539999996,12315666.0
2018-09-04,1230.288086,-0.9998,0.133,0.772,0.095,1223.552002,1243.017456,1217.459717,8922552.0
2018-09-05,1215.478516,-0.9998,0.143,0.752,0.105,1230.832886,1240.887573,1197.1522220000004,10422792.0
2018-09-06,1249.55542,-0.9999,0.144,0.772,0.084,1218.598877,1253.815063,1213.8439939999996,11301160.0
2018-09-07,1266.5939939999996,-0.9999,0.156,0.744,0.1,1253.022583,1269.318115,1242.720215,10794143.0
2018-09-10,1244.057617,-0.9998,0.142,0.755,0.103,1263.02771,1265.009033,1238.361572,7125920.0
2018-09-11,1226.078003,-0.9999,0.136,0.777,0.087,1247.1779789999996,1256.4897460000002,1222.6604,10977849.0
2018-09-12,1240.739014,-0.9999,0.154,0.762,0.085,1240.045654,1246.880859,1217.311157,8142006.0
2018-09-14,1241.382935,-0.9994,0.122,0.776,0.102,1247.574219,1263.62207,1235.93457,7953264.0
2018-09-17,1214.388794,-0.9999,0.134,0.778,0.088,1239.005493,1239.005493,1210.12915,6818107.0
2018-09-18,1205.720947,-0.9999,0.148,0.775,0.077,1214.487915,1227.762085,1202.947266,7688607.0
2018-09-19,1199.3811039999996,-1.0,0.159,0.775,0.065,1212.506592,1212.506592,1189.722656,11372574.0
